stimulus_id,stimulus,connective,is_int,att_type,first,second,correct_response,trial_type
33,I hope that the books ___ on the table. ,R,0,R,are,to be,0,distractor
34,I remember that the two boys ___ sitting on that bench.,R,0,R,to be,are,1,distractor
35,I know that James and Lois ___ going to be late.,R,0,R,are,to be,0,distractor
36,Emma thinks that the bears ___ too picky. ,R,0,R,to be,are,1,distractor
37,Do you think that James and Sue ___ going to come?,R,1,R,are,to be,0,distractor
38,Did you know that the books ___ going to arrive tomorrow?,R,1,R,to be,are,1,distractor
39,Will Mary realize that the bears ___ dancing?,R,1,R,are,to be,0,distractor
40,Will anyone know that the prizes ___ hidden here?,R,1,R,to be,are,1,distractor
41,Eloise wants there ___ at least three choices.,P,0,P,are,to be,1,distractor
42,Susie needs Em and James ___ on time.,P,0,P,to be,are,0,distractor
43,I hope for the boys  ___ the best. ,P,0,P,are,to be,1,distractor
44,I'd like the presents  ___ opened tomorrow.,P,0,P,to be,are,0,distractor
45,Would Jamie like three or four books ___ on the table?,P,1,P,are,to be,1,distractor
46,Do you want the noodles ___ warmed up?,P,1,P,to be,are,0,distractor
47,Does Susan want us ___ early tomorrow?,P,1,P,are,to be,1,distractor
48,Do the books need ___ put back anywhere special?,P,1,P,to be,are,0,distractor
